Altitude,Latitude,Longitude,Velocity,Date,Cordinates
263.1464075,-51.5129646,-58.37677932,17126.5386,11/23/2017 14:44,"[[-51.512964595214,-58.376779324397]]"
258.7891362,-30.32771391,-61.83245506,17133.72367,11/23/2017 19:36,"[[-30.327713908783,-61.832455056278]]"
252.5275997,12.08821505,-98.92694067,17152.99674,11/24/2017 0:28,"[[12.08821505249,-98.926940672502]]"
254.1273898,47.93071127,-122.1570559,17161.39084,11/24/2017 5:20,"[[47.930711271412,-122.15705588925]]"
251.6582504,39.40434647,-117.3352722,17167.07752,11/24/2017 10:12,"[[39.404346470944,-117.33527218034]]"
250.3354515,-1.301640091,-150.2376106,17160.62066,11/24/2017 15:04,"[[-1.3016400909896,-150.23761059832]]"
259.5858722,-41.26542006,178.2021777,17135.73368,11/24/2017 19:56,"[[-41.265420062924,178.20217771139]]"
262.4877952,-46.72253651,-176.3872589,17126.72665,11/25/2017 0:48,"[[-46.722536514566,-176.38725891699]]"
254.6102347,-9.891823581,158.2156918,17144.05895,11/25/2017 5:40,"[[-9.8918235810127,158.21569180177]]"
253.0856977,32.3158345,121.7495138,17157.78451,11/25/2017 10:32,"[[32.315834500355,121.74951380547]]"
253.8749011,51.06953255,120.7166747,17163.96617,11/25/2017 15:24,"[[51.069532548791,120.71667467106]]"
249.7204178,20.49538781,106.3651233,17166.67818,11/25/2017 20:16,"[[20.495387806334,106.36512333025]]"
254.1505915,-22.47603656,68.26233183,17149.32433,11/26/2017 1:08,"[[-22.476036556307,68.262331829537]]"
262.8602901,-51.4400587,55.88947777,17127.57113,11/26/2017 6:00,"[[-51.440058703897,55.889477768598]]"
258.7477303,-30.76188261,52.90673525,17134.00671,11/26/2017 10:52,"[[-30.761882614308,52.906735246267]]"
252.5645952,11.61357303,15.93632084,17152.66906,11/26/2017 15:44,"[[11.613573028762,15.93632084109]]"
254.272799,47.69913405,-7.718625785,17160.60058,11/26/2017 20:36,"[[47.699134051273,-7.7186257848029]]"
251.8411386,39.75665726,-2.687876599,17166.43063,11/27/2017 1:28,"[[39.756657263089,-2.6878765994799]]"
250.2118352,-0.845854574,-35.33932408,17161.04103,11/27/2017 6:20,"[[-0.84585457378595,-35.339324080029]]"
259.2587885,-40.94806507,-67.14949957,17136.82841,11/27/2017 11:12,"[[-40.948065067197,-67.149499570501]]"
262.3295377,-46.95441959,-61.83954343,17127.41487,11/27/2017 16:04,"[[-46.954419591337,-61.839543431713]]"
254.6059657,-10.30067614,-86.86102974,17144.07536,11/27/2017 20:56,"[[-10.300676144643,-86.861029742008]]"
253.159344,31.96759874,-123.4349064,17157.25076,11/28/2017 1:48,"[[31.967598742401,-123.43490637291]]"
254.0802365,51.15535571,-124.8060732,17163.09786,11/28/2017 6:40,"[[51.155355705348,-124.80607322786]]"
249.7554683,20.8616175,-138.723763,17166.58455,11/28/2017 11:32,"[[20.861617495424,-138.72376295813]]"
253.8896105,-22.11894066,-176.8280836,17150.19037,11/28/2017 16:24,"[[-22.118940658354,-176.82808358822]]"
262.5575789,-51.38109691,170.4180206,17128.70496,11/28/2017 21:16,"[[-51.381096909715,170.41802064908]]"
258.645109,-31.06826241,167.792807,17134.49604,11/29/2017 2:08,"[[-31.068262409318,167.79280698828]]"
252.6726689,11.28237203,130.9167814,17152.09671,11/29/2017 7:00,"[[11.282372029894,130.91678144639]]"
254.4792688,47.53352015,106.9699252,17159.60825,11/29/2017 11:52,"[[47.533520153518,106.96992524376]]"
252.0472876,40.00033403,112.1370193,17165.64787,11/29/2017 16:44,"[[40.000334028171,112.1370193336]]"
250.1298592,-0.529807429,79.66825953,17161.30543,11/29/2017 21:36,"[[-0.5298074292238,79.668259529563]]"
